,tlds,count,share,url
0,loan,2585685,11.1,http://nic.loan
1,top,2377265,10.2,http://www.nic.top/en
2,xyz,2368201,10.2,http://nic.xyz
3,club,1240523,5.3,http://dotclub.com
4,vip,882556,3.8,http://mmx.co/
5,online,841597,3.6,http://radix.website/dot-online/
6,win,677153,2.9,http://nic.win
7,wang,617410,2.7,http://www.zodiacregistry.com
8,shop,566061,2.4,http://www.gmo-registry.com
9,men,544196,2.3,http://www.famousfourmedia.com/
10,site,498478,2.1,http://radix.website/dot-site/
11,bid,387919,1.7,http://www.famousfourmedia.com
12,xin,366882,1.6,http://nic.xin/
13,ltd,353952,1.5,http://donuts.co
14,space,276127,1.2,http://radix.website/
15,work,264686,1.1,http://mmx.co/
16,website,259580,1.1,http://radix.website/
17,stream,242499,1.0,
18,tech,240652,1.0,http://radix.website/
19,review,235484,1.0,http://nic.review
20,xn--ses554g,232864,1.0,http://knet.cn/
21,link,199061,0.9,http://www.uniregistry.com
22,store,190990,0.8,http://www.radix.website/
23,life,187662,0.8,http://donuts.co
24,live,174250,0.7,http://www.rightside.co
25,trade,169295,0.7,http://www.famousfourmedia.com
26,blog,155993,0.7,https://nic.blog/
27,cloud,143303,0.6,https://www.aruba.it/
28,download,139756,0.6,http://nic.support/
29,date,132389,0.6,http://nic.date
