registrar,count,share,,,,,
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","337,856",54.7,,,,,
"eName Technology Co., Ltd.","186,113",30.1,,,,,
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","70,040",11.3,,,,,
Xin Net Technology Corporation,"9,952",1.6,,,,,
"Xiamen Nawang Technology Co., Ltd","2,505",0.4,,,,,
Ourdomains Limited,"1,868",0.3,,,,,
"Shanghai Meicheng Technology Information Development Co., Ltd.","1,793",0.3,,,,,
"Foshan YiDong Network Co., LTD",934,0.2,,,,,
"Todaynic.com, Inc.",860,0.1,,,,,
"Bizcn.com, Inc.",544,0.1,,,,,
