registrar,count,share,,,,,,
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","254,838",20.5,,,,,,
"NameCheap, Inc.","234,085",18.9,,,,,,
"GoDaddy.com, LLC (GoDaddy Group)","201,847",16.3,,,,,,
"GMO Internet, Inc. d/b/a Onamae.com","134,041",10.8,,,,,,
Xin Net Technology Corporation,"62,585",5.0,,,,,,
"eName Technology Co., Ltd.","51,992",4.2,,,,,,
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","51,776",4.2,,,,,,
PDR Ltd. d/b/a PublicDomainRegistry.com,"35,292",2.8,,,,,,
EJEE Group Holdings Limited,"21,303",1.7,,,,,,
1&1 Internet SE (United Internet AG),"17,923",1.4,,,,,,
