registrar,count,share,,,,,,,
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","1,304,769",54.9,,,,,,,
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","284,855",12.0,,,,,,,
PDR Ltd. d/b/a PublicDomainRegistry.com,"126,461",5.3,,,,,,,
Jiangsu Bangning Science & technology Co. Ltd.,"88,540",3.7,,,,,,,
"NameCheap, Inc.","59,717",2.5,,,,,,,
Alpnames Limited,"54,712",2.3,,,,,,,
"GMO Internet, Inc. d/b/a Onamae.com","54,268",2.3,,,,,,,
"Bizcn.com, Inc.","45,063",1.9,,,,,,,
"eName Technology Co., Ltd.","43,981",1.9,,,,,,,
Xin Net Technology Corporation,"19,905",0.8,,,,,,,
