,registries,count,share,url
0,Famous Four Media Ltd. ,5724840,24.6,
1,Donuts Inc. ,3758957,16.2,
2,Radix FZC ,2517067,10.8,
3,"Jiangsu Bangning Science & Technology Co.,Ltd.",2423028,10.4,
4,XYZ.COM LLC,2373977,10.2,
5,Minds + Machines Group Limited ,1433395,6.2,
6,CLUB Domains LLC,1242374,5.3,
7,"GMO Registry, Inc.",680756,2.9,
8,Zodiac Holdings Ltd. ,669113,2.9,
9,"Uniregistry, Corp.",433540,1.9,
10,Alibaba Group Holding Ltd. ,367136,1.6,
11,"KNET Co., Ltd.",232967,1.0,
12,Afilias Limited ,166731,0.7,
13,"Knock Knock WHOIS There, LLC(Automattic Inc. / wordpress.com)",156958,0.7,
14,ARUBA S.p.A.,144708,0.6,
15,"Top Level Design, LLC",140941,0.6,
16,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",119359,0.5,
17,"Joint Stock Company ""Navigation-information systems""",112335,0.5,
18,Computer Network Information Center of Chinese Academy of Sciences(China Internet Network Information Center),80181,0.3,
19,The City of New York by and through the New York City Department of Information Technology & Telecommunications,70393,0.3,
20,One Registry,65755,0.3,
21,Rusnames Limited,62331,0.3,
22,TLD REGISTRY LIMITED,57644,0.2,
23,OVH SAS,56492,0.2,
24,"Fegistry, LLC",55859,0.2,
25,dotBERLIN GmbH & Co. KG,55667,0.2,
26,Dot Global Domain Registry Limited,43396,0.2,
27,Real Estate Domains LLC,40641,0.2,
28,"Beijing RITT-Net Technology Development Co., Ltd",36033,0.2,
29,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),35743,0.2,
